id,scientific_name,presence_start,presence_end,presence_score,start,end,floor_to_peak,loudness
621252,Passer domesticus,31.0,37.0,-0.00362863874626021,31.0,37.0,0.4769501827044974,-58.53657423970207
570927,Leiothlypis celata,150.0,156.0,0.5993011912634206,149.97768707482993,155.97768707482993,0.014057628907417399,-16.600084492074693
161411,Poecile rufescens,4.0,10.0,0.5726301780966825,4.0,10.0,0.2500815924280385,-34.22144440909513
267999,Junco hyemalis,0.0,6.0,0.17419234749882717,0.046439909297052155,6.046439909297052,0.14063436165287102,-33.35910305439558
309932,Leiothlypis celata,0.0,6.0,0.5717139138818479,0.046439909297052155,6.046439909297052,0.08171902981295329,-33.15895671300098
711408,Melozone crissalis,164.0,170.0,0.6043529926344405,164.0,170.0,0.022753576621885336,-21.701174411552962
306142,Sayornis nigricans,4.0,10.0,0.19827233865683852,4.760090702947846,10.760090702947846,0.4173603190535573,-44.471870658411646
793806,Passer domesticus,49.0,55.0,0.0,49.621043083900226,55.621043083900226,0.7331138273215463,-60.4050705851331
192016,Sayornis nigricans,80.0,86.0,0.6035790387974228,79.55156462585035,85.55156462585035,0.038035784922399785,-26.62011060487415
150357,Setophaga townsendi,52.0,58.0,0.5965005991070769,52.05913832199546,58.05913832199546,0.033338406118683675,-26.861758932493604
951780,Setophaga coronata,6.0,12.0,0.1738213959128357,8.080544217687075,14.080544217687075,0.5177925571646262,-41.246963088285966
179100,Setophaga townsendi,0.0,6.0,0.5805991763292356,0.046439909297052155,6.046439909297052,0.22911989211364567,-29.437723375473478
302250,Zonotrichia leucophrys,0.0,6.0,0.5754222539795,0.06965986394557823,6.069659863945578,0.04938771904362012,-22.317346008720154
129079,Melozone crissalis,50.0,56.0,0.6039889136026071,51.7340589569161,57.7340589569161,0.0035022348140445188,-12.308226381155421
910051,Setophaga townsendi,20.0,26.0,0.3966320688987887,20.0,26.0,0.3269764128914604,-33.02726871124309
125469,Poecile rufescens,14.0,20.0,0.5977947462436765,15.069750566893424,21.069750566893426,0.3609381624390734,-30.123138784421695
475903,Passer domesticus,24.0,30.0,0.5199983480364777,24.055873015873015,30.055873015873015,0.13400485391470546,-43.42347589937051
169663,Passer domesticus,14.0,20.0,0.28511246415071706,14.0,20.0,0.11774252189944619,-25.2126190935164
957871,Passer domesticus,168.0,174.0,0.4728453117747639,168.0,174.0,0.38736080242992443,-31.706376828206604
218793,Junco hyemalis,52.0,58.0,0.38049838566329586,51.66439909297052,57.66439909297052,0.20232284305369888,-32.60240334230457
588871,Passer domesticus,12.0,18.0,0.3412484512772671,12.0,18.0,0.7124019527363546,-37.212235742250506
510802,Junco hyemalis,2.0,8.0,0.4003609782734582,1.9969160997732427,7.996916099773243,0.5844002279629446,-34.32690523181906
535300,Zonotrichia leucophrys,0.0,6.0,0.46926788517902057,2.8328344671201813,8.83283446712018,0.11572381470789775,-66.63320295944676
492815,Spinus psaltria,4.0,10.0,0.4878561136334441,4.0,10.0,0.22281712878364413,-27.93521798434873
492814,Spinus psaltria,4.0,10.0,0.4097813665866851,4.017052154195011,10.01705215419501,0.0816628938178056,-18.297762260517136
157773,Zonotrichia leucophrys,12.0,18.0,0.601368834806043,12.0,18.0,0.024739598812098196,-27.751081202448805
364467,Poecile rufescens,38.0,44.0,0.6046120122421619,37.98784580498866,43.98784580498866,0.006588156707199322,-18.111610683789632
901411,Leiothlypis celata,22.0,28.0,0.4563263867396947,22.0,28.0,0.6212683299823297,-35.5672796509035
956549,Setophaga coronata,10.0,16.0,0.5754010731051135,12.144036281179138,18.14403628117914,0.027712775525071735,-31.546131673834996
186314,Setophaga coronata,90.0,96.0,0.41553466307908987,91.85814058956916,97.85814058956916,0.0027615951071393225,-13.073605942257108
623295,Passer domesticus,40.0,46.0,0.43156075754830997,39.96154195011338,45.96154195011338,0.21254477611090772,-48.58524326827795
124992,Sayornis nigricans,2.0,8.0,0.604584444400876,3.250793650793651,9.25079365079365,0.028924289886938428,-31.147333881962076
178009,Poecile rufescens,64.0,70.0,0.6006934448730114,64.57469387755103,70.57469387755103,0.18445445911418562,-30.53197994932675
362957,Poecile rufescens,8.0,14.0,0.5993022419685541,8.52172335600907,14.52172335600907,0.033481012953612735,-17.757533078307347
725633,Junco hyemalis,52.0,58.0,0.5779739590578301,54.21859410430839,60.21859410430839,0.09215173119911396,-37.371722869940655
756346,Leiothlypis celata,16.0,22.0,0.49972181962153234,15.696689342403628,21.69668934240363,0.04786506085453481,-18.82716715539911
702717,Passer domesticus,112.0,118.0,0.5525396692371646,111.2235827664399,117.2235827664399,0.1293961215231238,-37.20695123426242
799251,Setophaga coronata,166.0,172.0,0.4388576107489508,166.0,172.0,0.05863321736958236,-23.301635981381462
302523,Leiothlypis celata,0.0,6.0,0.25075738617154053,0.046439909297052155,6.046439909297052,0.029612346025863625,-32.754880477021544
449553,Sayornis nigricans,12.0,18.0,0.6045659697333047,12.585215419501134,18.585215419501132,0.005514429010149496,-14.429103216134722
638299,Junco hyemalis,26.0,32.0,0.27021115481160407,26.0,32.0,0.15250392011818525,-24.171736876359496
150356,Setophaga townsendi,42.0,48.0,0.5652930154356844,43.723174603174606,49.723174603174606,0.018929262113319394,-23.27198313717873
490385,Sayornis nigricans,30.0,36.0,0.6030782377997109,32.71691609977324,38.71691609977324,0.04725641055621677,-20.840527610829042
466375,Melozone crissalis,18.0,24.0,0.4578055115633232,18.0,24.0,0.0820408404489512,-40.05733092845536
244402,Setophaga coronata,6.0,12.0,0.4448243861281594,6.0,12.0,0.13647761790525711,-25.245874547071068
